pname,subtitle,StrDate,EndDate,production,crew,cast,content,cover,stills
Twelfth Night,"by William Shakespeare 
 Directed by Kate Horsley",1999-09-11,1999-10-23,"{""Priest/ SM"": [""GRAHAME DEIN""]}","{""Set construction"": [""PAUL GILBERT""], ""Sound Opperator"": [""JOHN O'BRIEN-HALL""]}","{""unknown"": [""STEVE ANDREWS"", ""LUKE ANTHONY"", ""GREGORY BALCOMBE"", ""KEITH BEGLEY"", ""ERIC BICKNELL"", ""KEVIN BLOOM"", ""MONICA BRIAN"", ""MEG CARROLL"", ""ALAN DARBO"", ""GARY DOOLEY"", ""MISTY FISHER"", ""SEAN GILLESPIE"", ""ROGER GIMBLETT"", ""WUNNDONNA HUGHES"", ""DANIELLE LONNON"", ""GRANT LONNON"", ""ZORITSA MARINKOVICH"", ""PAUL ORLANDO CAGGEGI"", ""JANET POOLE"", ""VERONICA PORCARO"", ""SIMON SHAW"", ""NICOLE SMITH"", ""ANDREAS WARNECKE"", ""MEGAN WARNOCK"", ""TODD WORDEN""], ""SUSAN CARVETH"": [""Costumes""], ""KATE HORSLEY"": [""DIRECTOR""]}","Set in 1969, this latest adaptation of what has been called Shakespeare's most perfect play, builds on the theme of peace, music and free love. The sixties marked a point of revolution in modern music, which reflected societal changes as a whole and a newfound freedom of expression. This era makes the perfect for Twelfth Night for of all Shakespeare's plays , it is the most highly focussed on free expression and the music of love. The sixties was an era of new freedoms and ambiguities, endless possibilities and blurred boundaries and thus provides a perfect setting for Twelfth Night's fantasy of desire, undifferentiated and uncontrolled by the constraints of normality, etiquette or even gender.

The play shows, and the period echoes, the fragile boundaries between friendship and lvoe, and the universality of desire, which cannot by continued or limited. Thus, this bittersweet comedy is very poignant for the issues of contemporary Sydney society.

Performed in the inner city theatre where Australia's most famous Shakespearian actor and director, John Bell, once trod the boards, the Genesian Theatre is the perfect setting for this unique Shakespearian production.

Cast: Todd Worden, Keith Begley, Monica Brian, Paul Orlando Caggegi, Simon Shaw, Veronica Porcaro, Meg Carroll, Gary Dooley, Luke Anthony, Roger Gimblett, Misty Fisher, Danielle Lonnon, Graham Dein",https://www.genesiantheatre.com.au/s1999/5/images/poster.jpg,"['https://www.genesiantheatre.com.au/s1999/5/images/TWELFTH1.jpg', 'https://www.genesiantheatre.com.au/s1999/5/images/TWELFTH2.jpg']"
Angels in Love,"by Hugh Mills 
 Directed by Joyce Birch",1999-11-06,1999-12-18,"{""SM"": [""CORALIE THEW""]}","{""Sound Design"": [""JOHN O'BRIEN-HALL""]}","{""unknown"": [""TIMOTHY BENNETT"", ""MARTIN BRETHERICK"", ""PHILLIPA COLEMAN"", ""JENIFA DWYER"", ""RAY FORSYTH"", ""QUINTIN JAMES"", ""JAN. JOHNSON"", ""MYFANWY PEEBLES"", ""CLARE SINGLINE"", ""JUSTIN SNOWBALL"", ""JEREMY THOMAS"", ""LEONIE WOODBURY""], ""JOYCE BIRCH"": [""DIRECTOR""], ""SUSAN CARVETH"": [""Costumes""], ""DEL DINES"": [""Voice coach""], ""GRANT FRASER"": [""Lights & sound opps""], ""PETER W. RYAN"": [""Sir P Pomeroy-Jones""], ""PAMELA WHALAN"": [""Costumes""]}","A Delightful Comedy for the Holiday Season!
Based in part on characters created by Frances Hodgson Burnett in her famous 1888 children's classic
Little Lord Fauntleroy
, Hugh Mills has created an entertaining mock Victorian romp.
Cedric, Lord Fauntleroy, now twenty and married, causes his mother the greatest concern by his apparent ignorance of the reasons for marriage. Ludicrous and farcical situations develop in the course of various genteel efforts to enlighten him.
They are accompanied by such diversions as his widowed mother's own bashful courtship; a mistaken identity, with its own disastrous repercussions; a pathetic Victorian recitation; poison in the wrong teacup; and the parlourmaid's taste in naughty novels.
Cast: Leonie Woodbury, Jan Johnson, Justin Snowball, Quintin James, Myfanwy Peebles, Phillipa Coleman, Jenifa Dwyer, Ray Forsyth, Timothy Bennett, Peter W. Ryan, Jeremy Thomas",https://www.genesiantheatre.com.au/s1999/6/images/poster.jpg,"['https://www.genesiantheatre.com.au/s1999/6/images/ANGELS1.jpg', 'https://www.genesiantheatre.com.au/s1999/6/images/ANGELS2.jpg']"
Emma,"by Jane Austen 
 Adapted by John Lindsay and Ronald Russell 
 Directed by Pamela Whalan",2000-01-08,2000-02-26,{},"{""Set decoration"": [""RUTH FORD""], ""Sound Design"": [""JOHN O'BRIEN-HALL""]}","{""unknown"": [""STEVE ANDREWS"", ""ERIC BICKNELL"", ""HELEN CAMBOURN"", ""MEG CARROLL"", ""PHILLIPA COLEMAN"", ""LYNDEL DUNN"", ""CAROLEEN HEATON"", ""PETER HENSON"", ""DARRELL HOFFMAN"", ""EZEKIEL KENNEDY"", ""ANNE LEWIS"", ""SIMONE LOANNU"", ""GENEVIEVE MORTISS"", ""JASON MURDOCH"", ""CATHERINE OBUCHOVA"", ""GEORGE PORTHOUSE"", ""CLARE SINGLINE"", ""MARC. TAYLOR"", ""CHRISTINE TROSS"", ""HELEN VASS"", ""JOHN WILLIAMS"", ""LEONIE WOODBURY""], ""KEITH POTTEN"": [""Henry Woodhouse""], ""PAMELA WHALAN"": [""DIRECTOR""], ""GARY WOODS"": [""Poster design""]}","Set in the village of Highbury in 1814, this is the story of Emma Woodhouse, who ""had lived nearly twenty-one years in the world with very little to distress or vex her."" The ""real evils indeed of Emma's situation were the power of having rather too much her own way, and a disposition to think a little too well of herself"".
It is Emma's voyage of self-discovery which we follow in this adaptation of the novel. After disastrous attempts at matchmaking and completely misunderstanding the intentions and designs of the inhabitants of Highbury, she begins to understand the mischief she has caused and the workings of her own heart.
Cast: Keith Potten, Phillipa Coleman, Clare Singline, Jason Murdoch, Lyndel Dunn, Caroleen Heaton, Helen Vass, Ezekiel Kennedy, Anne Lewis, Leonie Woodbury, Geneieve Mortiss, Eric Bicknell, Simone Ioannu, Darrell Hoffman, Marc Taylor, Christine Tross",https://www.genesiantheatre.com.au/s1999/7/images/poster.jpg,"['https://www.genesiantheatre.com.au/s1999/7/images/EMMA1.jpg', 'https://www.genesiantheatre.com.au/s1999/7/images/EMMA2.jpg']"
Round and Round the Garden,"by Alan Ayckbourn 
 Directed by Paula Bate",2000-03-10,2000-05-06,"{""SM"": [""JOHN O'BRIEN-HALL""], ""Production Mgr"": [""CORALIE THEW""]}","{""Set construction"": [""PAUL GILBERT""]}","{""PAULA BATE"": [""DIRECTOR""], ""SHANE BATES"": [""Sarah""], ""unknown"": [""TIMOTHY BENNETT"", ""ERIC BICKNELL"", ""HELEN CAMBOURN"", ""ELISABETH CRAWFORD"", ""ADRIAN JENAWAY"", ""JENNI LYNCH"", ""JANET McCAULEY"", ""ANDREW ROBJOHNS"", ""ALAN SCULLY"", ""ASHLEIGH SHARMAN"", ""CLARE SINGLINE"", ""BRENT THORPE""], ""KAREN O'BRIEN-HALL"": [""Costumes ""]}","Alan Ayckbourn is one of the most successful playwrights of the last half of the 20th century and ""The Norman Conquests"" trilogy, probably the most successful, best-known and loved of his work.

Born in 1939, he worked in theatre from the time he left school, writing the trilogy in 1973 for the Tiny Library Theatre-in-the-Round in Scarborough, where he first staged all his plays. Ayckbourn tells us that he ignored London sources who informed him that writing trilogies was not 'a good thing'. He had found that with a new play it was safer to never look further than Scarborough and to achieve success there. Scarborough is a holiday town with an ever changing population, and if it was essential to see all three plays to appreciate the trilogy, or any one of them, this would probably result in no audience at all, ""The Norman Conquest"" plays are therefore able to stand independently and may be seen in any order. As the Library Theatre could only afford six actors then the trilogy has a cast of six.

Ayckbourn decided to write ""The Norman Conquests"" crosswise. He started with Scene One of ""Round and Round the Garden"", then the Scene Ones of the other two plays and on through the Scene Twos. Comic climaxes seemed to abound everywhere and each play began to develop an atmosphere of its own. The West End production opened at the Globe Theatre London in August 1974 and the cast include Tim Courtenay, Michael Gambon, Penelope Keith and Felicity Kendal

Cast: Alan Scully, Jennifer Lynch, Andre Roberts, Timothy Bennett, Shane Bates, Elizabeth Crawford ",https://www.genesiantheatre.com.au/s1999/8/images/poster.jpg,"['https://www.genesiantheatre.com.au/s1999/8/images/ROUND1.jpg', 'https://www.genesiantheatre.com.au/s1999/8/images/ROUND2.jpg']"
I Have Five Daughters,"by Margaret Macnamara 
 Directed by Pamela Whalan",1998-01-03,1998-02-14,{},"{""Set construction"": [""PAUL GILBERT""], ""Sound operator"": [""JOHN O'BRIEN-HALL""]}","{""SHANE BATES"": [""Lady Catherine de Bourgh""], ""unknown"": [""SIMON BRAZZALOTTO"", ""CRAIG CALHOUN"", ""MEG CARROLL"", ""CAROL CLEARY"", ""IAN CORNFORD"", ""MISTY FISHER"", ""ANDREW FOXWORTH"", ""PETER HENSON"", ""WUNNDONNA HUGHES"", ""TONY JOSEF"", ""ANTOINETTE KULIS"", ""JOHN ROCHE"", ""DONNA SMITH"", ""DONALD SWORD"", ""LORETTA TOLNAI"", ""CHRISTINE TROSS"", ""JOHN WADE"", ""NICOLE WILLMOTT""], ""SUSAN CARVETH"": [""Caroline Bingley & Costumes""], ""STEPHANIE COSGROVE"": [""Costumes""], ""JOHN FITZSIMMONS"": [""set design""], ""KAREN O'BRIEN-HALL"": [""Mrs Bennett""], ""PAUL TREACY"": [""William Collins""], ""IAN WHALAN"": [""sound design""], ""PAMELA WHALAN"": [""DIRECTOR""]}","Margaret Macnamara's morning-room comedy,
I Have Five Daughters
, made from Austen's novel
Pride & Prejudice
, looks at the dilemma of having five daughters and little money, in an age when the only respectable career for a gently born girl was marriage. Mr. Bennet seems to look on the predicament as comic, but Mrs. Bennet strives with all her might to find husbands, suitable or not, for beautiful Jane, witty Elizabeth, dull Mary, fretful Kitty and bold Lydia. Her manoeuvres provide us with a charming view of an elegant bygone age inhabited by characters very much like people we know today.
Cast: Christine Tross, Antoinette Kulis, Loretta Tolnai, Misty Fisher, Nicole Willmott, Karen O'Brien-Hall, Wundonna Hughes, Carol Cleary, John Roche, Andrew Foxworth, Donald Sword, Paul Treacy, Susan Carveth, Shane Bates",https://www.genesiantheatre.com.au/s1998/1/images/poster.jpg,"['https://www.genesiantheatre.com.au/s1998/1/images/DAUGHTERS1.jpg', 'https://www.genesiantheatre.com.au/s1998/1/images/DAUGHTERS2.jpg']"
Guilty Conscience,"by Richard Levinson & William Link 
 Directed by Joyce Birch",1998-02-28,1998-04-04,"{""Assistant Director"": [""FRANCES MILAT""], ""SM"": [""CORALIE THEW""]}","{""Lights Design"": [""GRANT FRASER""], ""Set construction"": [""PAUL GILBERT""]}","{""unknown"": [""STEVE ANDREWS"", ""SANDRA BASS"", ""TIMOTHY BENNETT"", ""SIMON BRAZZALOTTO"", ""MEG CARROLL"", ""ELISABETH CRAWFORD"", ""STELLA JENSEN"", ""JENNI LYNCH"", ""KRISTEN MANN"", ""RICHARD MASON"", ""TONY MORGAN"", ""DONNA SMITH""], ""JOYCE BIRCH"": [""DIRECTOR""], ""DEL DINES"": [""Thanks""], ""PAMELA WHALAN"": [""Thanks""]}","Richard Levinson and William Link, award-winning dramatists, are best known for their creation of the humble, bumbling but brilliant Lieutenant Columbo. They have also created and sold over a dozen television series including ""Mannix"", ""Ellery Queen"", and ""Murder, She Wrote"". They have written and produced the groundbreaking dramas ""My Sweet Charlie"", ""That Certain Summer"" and many others.
Cast: Kristen Mann, Sandra Bass, Richard Mason, Jennifer Lynch, The Audience",https://www.genesiantheatre.com.au/s1998/2/images/poster.jpg,"['https://www.genesiantheatre.com.au/s1998/2/images/GUILTY1.jpg', 'https://www.genesiantheatre.com.au/s1998/2/images/GUILTY2.jpg']"
The Woman in Black,"by Stephen Mallatratt based on the book by Susan Hill 
 Directed by George Torbay",1998-04-18,1998-06-06,{},{},"{""unknown"": [""KAT ANDERSON"", ""GREGORY BALCOMBE"", ""FRANK BRADLEY"", ""JILL BRADLEY"", ""SIMON BRAZZALOTTO"", ""STEVE HANDS"", ""ZORITSA MARINKOVICH"", ""PAUL OLISLAGERS"", ""HELEN ROBINSON"", ""BRENT THORPE""], ""JOYCE BIRCH"": [""Thanks""], ""SUSAN CARVETH"": [""Thanks""], ""CORALIE THEW"": [""Thanks""], ""GEORGE TORBAY"": [""DIRECTOR""]}","The actor portrays a young Kipps, sent north by his London firm to settle the estate of an elderly recluse, the late Mrs Drablow, in whose isolated marshland house Kipps encounters the Woman in Black. This spectre, seeking vengeance for the death of her young child, attaches herself to Kipps and unleashes a macabre sequence of events which culminate in a truly chilly twist in the play's final moments.
Cast: Frank Bradley, Greg Balcombe, Kat Anderson",https://www.genesiantheatre.com.au/s1998/3/images/poster.jpg,"['https://www.genesiantheatre.com.au/s1998/3/images/WOMAN1.jpg', 'https://www.genesiantheatre.com.au/s1998/3/images/WOMAN2.jpg']"
A Slight Case of Murder,"by Damon Runyon & Howard Lindsay 
 Directed by Del Dines",1998-06-20,1998-08-15,"{""Production Mgr"": [""JOYCE BIRCH""], ""Innocence & SM"": [""PAUL TREACY""]}","{""Lights Design"": [""GRANT FRASER""], ""Lighting asst"": [""CORALIE THEW""]}","{""unknown"": [""KAY ALLEN"", ""STEVE ANDREWS"", ""SIMON BRAZZALOTTO"", ""JENNIFER CABRAJA"", ""VIVIENNE CABRAJA"", ""MEG CARROLL"", ""PETER DEMLAKIAN"", ""MELISSA EVANS"", ""DON FERGUSON"", ""RAY FORSYTH"", ""ANDREW FOXWORTH"", ""ROSE FRASCA"", ""JANE GREGERT"", ""GARY HAY"", ""WUNNDONNA HUGHES"", ""FAITH JESSEL"", ""HAROLD KISSIN"", ""SIMONE LEARY"", ""JIM MANNELL"", ""IAN McGREGOR"", ""ALEXIA McILROY"", ""KEITH McILROY"", ""LISA MIMMOCCHI"", ""GENEVIEVE MORTISS"", ""ARHN MUKERJEE"", ""JAM MUNNELL"", ""ANNA MURPHY"", ""PAUL OLISLAGERS"", ""ANNE POWER"", ""COLIN SMALL"", ""ROGER SMITH"", ""SARAH TICHE"", ""VANESSA TURRISI"", ""LEIGHA WHITE""], ""SUSAN CARVETH"": [""thanks""], ""DEL DINES"": [""DIRECTOR""], ""JAMES GRANT"": [""Douglas""], ""PAMELA WHALAN"": [""Costumes""]}","The planned decorum is shattered by a macabre discovery and slick action must be taken before the arrival of the Whitelaws - closely followed by the party loving drop-ins from the nostalgic ""good old days"".
Cast: Jim Mannell, Rose Frasca, Vanessa Turrisi, Peter Demlakian, Keith McIlroy, Don Ferguson, Ian McGregor, Harold Kissin, Colin Small, Ray Forsyth, Paul Olislagers, Roger Smith, Melissa Evans, Genevieve Mortiss, Faith Jessel, Alexia McIlroy, James Grant, Arun Mukerjee, Paul Treacy
Set Design: Lisa Mimmocchi",https://www.genesiantheatre.com.au/s1998/4/images/poster.jpg,"['https://www.genesiantheatre.com.au/s1998/4/images/MURDER1.jpg', 'https://www.genesiantheatre.com.au/s1998/4/images/MURDER2.jpg']"
The Imaginary Invalid,"by Moliere 
 Directed by Helen Robinson",1998-08-29,1998-10-17,{},"{""Set construction"": [""PAUL GILBERT""], ""Lighting opps"": [""DIANE HENDERSON""], ""Sound Design"": [""JOHN O'BRIEN-HALL""], ""Sound opps"": [""PETER W. RYAN""]}","{""unknown"": [""GREGORY BALCOMBE"", ""WAYNE BELTON"", ""TIMOTHY BENNETT"", ""SIMON BRAZZALOTTO"", ""MONICA BRIAN"", ""BELINDA DELANEY"", ""ALI FERGUSON"", ""MISTY FISHER"", ""ANDREW FOXWORTH"", ""ROSE FRASCA"", ""PAUL GERLACH"", ""STEVE HANDS"", ""GRAEME HARVEY-WALKER"", ""PETER HENSON"", ""KATE HORSLEY"", ""WUNNDONNA HUGHES"", ""RICHARD KENNETT"", ""ANNA LEWIS"", ""ZORITSA MARINKOVICH"", ""ANTHONY MORGAN"", ""MARTIN PARR"", ""HELEN ROBINSON"", ""ANDREW ROBJOHNS"", ""SIMON SHAW"", ""DONALD SWORD"", ""MELENIE TAYLOR"", ""BRYSCEN TEAPE-DAVIS"", ""DAMIAN THOMPSON"", ""GEORGE TORBAY"", ""MELANIE WHITHNALL""], ""JOYCE BIRCH"": [""Thanks""], ""SUSAN CARVETH"": [""Costumes""], ""GRAHAME DEIN"": [""Mr Purgon/ Mr Bonneloy""], ""KAREN O'BRIEN-HALL"": [""Costumes ""], ""GARY WOODS"": [""Beralde""]}","Through the efforts of Toinette, a saucy servant, the mercenary wife is revealed to the blind husband and the daughter permitted to marry the man she loves. By disguising herself as a ninety year old doctor, Toinette comically carries Argan's obsession to its absurd extreme. The play is filled with Moliere's parodies of social types, including Bonnefoy, a scheming notary; Purgon, an overpowering physician; and Diaforus, a pompous physician who rejects all new discoveries in medical science and clings to the superstitions of the 'ancients'.
Cast: Timothy Bennett, Belinda Delaney, Monica Brian, Misty Fisher, Gary Woods, Andrew Foxworth, Richard Kennett, Andrew Robjohns, Grahame Dein, Simon Shaw, Kate Horsley",https://www.genesiantheatre.com.au/s1998/5/images/poster.jpg,"['https://www.genesiantheatre.com.au/s1998/5/images/INVALID1.jpg', 'https://www.genesiantheatre.com.au/s1998/5/images/INVALID2.jpg']"
The Importance of Being Earnest,"by Oscar Wilde 
 Directed by Paul Olislagers",1998-10-31,1998-12-19,"{""SM"": [""DEBBIE SMITH""]}","{""Lights Design"": [""GRANT FRASER""]}","{""unknown"": [""STEPHEN BALDWIN"", ""SANDRA BASS"", ""SIMON BRAZZALOTTO"", ""DENIS CONDON"", ""RAY FORSYTH"", ""ROGER GIMBLETT"", ""GAYLE JENKINSON"", ""ALLISON JENY"", ""GENEVIEVE LA ROSA"", ""DANIELLE LONNON"", ""MICHELLE LUXFORD"", ""GENEVIEVE MORTISS"", ""JOHN NICHOLLS"", ""PAUL OLISLAGERS"", ""JANET POOLE"", ""BASIL THOMAS"", ""LORETTA TOLNAI"", ""ANDREW TRUMP"", ""NATASHA VAGG""], ""JOYCE BIRCH"": [""Miss Prism""], ""PAMELA WHALAN"": [""Thanks""]}","While Wilde's play continues the tradition of restoration comedy with some influence from W.S. Gilbert, it is entirely novel in that it is a comedy without malice. There is not one unpleasant character in the play.
The play first opened in London in February, 1895, whilst ""An Ideal Husband"" was running. Wilde had two successful plays at the same time.
Cast: Roger Gimblett, Stephen Baldwin, Basil Thomas, Andrew Trump, Ray Forsyth, Sandra Bass, Natasha Vagg, Loretta Tolnai, Joyce Birch",https://www.genesiantheatre.com.au/s1998/6/images/poster.jpg,"['https://www.genesiantheatre.com.au/s1998/6/images/EARNEST1.jpg', 'https://www.genesiantheatre.com.au/s1998/6/images/EARNEST2.jpg']"
Towards Zero,"by Agatha Christie 
 Directed by Timothy Bennett",1997-03-08,1997-05-17,"{""P C Benson & SM"": [""JOHN O'BRIEN-HALL""]}",{},"{""unknown"": [""ORIANA ATHANS"", ""SIMON BRAZZALOTTO"", ""TERRY BYRNE"", ""PHILLIPA COLEMAN"", ""ANDREW FOXWORTH"", ""ROSE FRASCA"", ""PAULINE FURLONG"", ""STUART GREENFIELD"", ""FRANK JONES"", ""MATTHEW McWILLIAMS"", ""GRANT PISANI"", ""BARBARA SANDERS"", ""BRENT THORPE"", ""JOHN WADE"", ""LEONIE WOODBURY""], ""TIMOTHY BENNETT"": [""DIRECTOR""], ""JOYCE BIRCH"": [""Advisor""], ""JOHN FITZSIMMONS"": [""set design""], ""PAUL GILBERT"": [""Insp. Leach""], ""FRANCES MILAT"": [""Lady Tressilian""], ""PETER W. RYAN"": [""Mathew Treves""], ""PAUL TREACY"": [""Thomas Royde""], ""IAN WHALAN"": [""sound design""], ""PAMELA WHALAN"": [""Costumes""]}","When the author is Agatha Christie, you know what to expect - a ripping good murder mystery with more twists than a corkscrew.
Towards Zero
 written by the lady herself, is true Christie.
Towards Zero
 sends in the red herrins early - has there been a murder or a suicide? Who was the victim? Enter the Superintendant and his men - and the fog gets thicker.
Towards Zero
 will keep even the true Christie aficionado guessing until the final curtain.
Towards Zero
 was adapted by Agatha Christie from her novel in collaboration with Gerald Verner. The play contains all the features we have come to expect of a Christie sory: interesting characters, intriguing conflicts, an absorbing mystery and a plot that keeps you guessing to the end.
Cast: Paul Treacy, Phillipa Coleman, Leonie Woodbury, P.W. Ryan, Stuart Greenfield, Frances Milat, Rose Frasca, Andrew Foxworth, Timothy Bennett, Paul Gilbert, John O'Brien-Hall",https://www.genesiantheatre.com.au/s1997/1/images/poster.jpg,"['https://www.genesiantheatre.com.au/s1997/1/images/1.jpg', 'https://www.genesiantheatre.com.au/s1997/1/images/2.jpg']"
The Business of Murder,"by Richard Harris 
 Directed by Paula Bate",1997-05-31,1997-08-02,"{""ASM"": [""JOHN O'BRIEN-HALL""]}",{},"{""PAULA BATE"": [""DIRECTOR""], ""unknown"": [""CAROL CLEARY"", ""ELISABETH CRAWFORD"", ""WUNNDONNA HUGHES"", ""JENNI LYNCH"", ""ZORITSA MARINKOVICH"", ""CLEOFE PUGLISI"", ""ALAN SCULLY"", ""BRENT THORPE"", ""JOHN WADE""], ""JOHN FITZSIMMONS"": [""set design""], ""TONY GIRDLER"": [""Mr Stone""]}","The Business of Murder is written by Richard Harris, who is best known for Stepping Out a play centred around a tap dancing class. Surprisingly, Harris is a noted writer of thrillers for stage and television. He considers The Business of Murder to be his best. Set in England in the nineteen-eighties, it is a tale of revenge, but no ordinary revenge.

You are a policeman, and a distraught father summons you to a meeting with his son who has become involved in the drug trade and now wishes to inform. Except there is no son.

You are a television writer, and you receive a letter from a woman accompanying a play she has written for television. It is not very good, however, her husband 'phones and begs you see his wife and give her some encouragment. She is terminally ill with only a few months to live. You agree. You go to their flat. Except there is no wife.

Suddenly you are plunged into a nightmare - the business of murder.

Who is this man? What is his motive? How will it end?

Harris' play is a real thriller, the best to be written in years, with more twists than a corkscrew. A step back to the classic days of Hitchcock. Tense, taut, terrific.

Cast: Allan Scully, Tony Girdler, Jenni Lynch",https://www.genesiantheatre.com.au/s1997/2/images/poster.jpg,"['https://www.genesiantheatre.com.au/s1997/2/images/1.jpg', 'https://www.genesiantheatre.com.au/s1997/2/images/2.jpg']"
The Taming of the Shrew,"by William Shakespeare 
 Directed by Helen Robinson",1997-08-16,1997-10-04,"{""SM"": [""JOHN O'BRIEN-HALL""]}",{},"{""unknown"": [""JAMES AMERY"", ""TIMOTHY BENNETT"", ""SIMON BRAZZALOTTO"", ""ELIZABETH BRYCE"", ""PHILIPPA COLEMAN"", ""ELISABETH CRAWFORD"", ""CASS CUMERFORD"", ""MISTY FISHER"", ""ANDREW FOXWORTH"", ""STUART GREENFIELD"", ""KATE HORSLEY"", ""WUNNDONNA HUGHES"", ""ANNA LEWIS"", ""IAN McGREGOR"", ""MATTHEW McWILLIAMS"", ""GRANT PISANI"", ""HELEN ROBINSON"", ""SIMON SHAW"", ""ANDREW SMITH"", ""NATASHA SMITH"", ""DONALD SWORD"", ""BRENT THORPE"", ""NATASHA VAGG"", ""ANDREW WADE"", ""SOPHIE WINGROVE""], ""BARRY HAYES"": [""Vincentio""], ""PETER W. RYAN"": [""Baptista/Lord""]}","Jazz plays in the foyer while the audience sip champagne; the lights dim, the music swells and the curtain rises on ........... a speakeasy?
The Hostess is furious at the behaviour of one, Sly by name, who is just drunk enough not to care and falls into blissful oblivion. Wakened by a fair maiden(???) Sly is not quite prepared for what is to come.
The Taming of the Shrew
 has been described as a problem play. Two problems in particular have concerned modern directors; the often discarded ""Sly"" scenes at the beginning of the play and the unrelenting, physical battle of the sexes which usually makes half the audience of a modern revival squirm. This production does include the ""Sly"" scenes and closes with an epilogue borrowed from an earlier dramatic version of the ""Shrew"" story. The main play becomes Sly's dream.
Setting the play in the twenties draws attention to the emergence of women from their stifled and controlled existence with, to use Kate's words,
""the spirit to resist!""
 The twenties was a period of change and recognition - a discarding of traditional beliefs and values and an embracing of life to the fullest!
Cast: Kate Horsley, Stuart Greenfield, Natasha Vagg, P.W. Ryan, James Amery, Ian McGregor, Donald Sword, Andrew Smith, Andrew Foxworth, Timothy Bennett, Cass Cumerford, Misty Fisher, Sophie Wingrove, Barry Hayes",https://www.genesiantheatre.com.au/s1997/3/images/poster.jpg,"['https://www.genesiantheatre.com.au/s1997/3/images/1.jpg', 'https://www.genesiantheatre.com.au/s1997/3/images/2.jpg']"
The Man Who Came to Dinner,"by George S. Kaufman & Moss Hart 
 Directed by Elaine Hudson",1997-10-18,1997-12-13,"{""Guest & ASM"": [""PAUL TREACY""]}",{},"{""unknown"": [""PETER ASTRIDGE"", ""TIMOTHY BENNETT"", ""SIMON BRAZZALOTTO"", ""SERHAT CARADEE"", ""JOHN CASTLES"", ""ROBIN CASTLES"", ""PENNY CHURCH"", ""PHILLIPA COLEMAN"", ""ELISABETH CRAWFORD"", ""PAUL DOUGLAS"", ""ROBERT ELLIS"", ""GEOFFREY ENGLAND"", ""RON FALSON"", ""MALCOLM GERS"", ""BELINDA GREENFIELD"", ""STUART GREENFIELD"", ""PETER HENSON"", ""ROGER HIND"", ""KATHLEEN HUDSON"", ""TONY JOSEF"", ""TRENT KALLU"", ""WARREN KIRBY"", ""CARMEN LYSIAK"", ""GEORGE PORTHOUSE"", ""CLEOFE PUGLISI"", ""JONATHON RICH"", ""ANDREW ROBJOHNS"", ""CARMEN RUSSO"", ""PAULA SAVVIDES"", ""BARBARA THOMPSON"", ""BRENT THORPE"", ""LORETTA TOLNAI"", ""VOLA VANDERE"", ""SUELLEN WATTS""], ""SHANE BATES"": [""Sarah""], ""LUCY CLIFFORD"": [""Harriet Stanley""], ""PAUL GILBERT"": [""Thanks""], ""TONY GIRDLER"": [""Sheridan Whiteside""], ""ELAINE HUDSON"": [""DIRECTOR""]}","Acid-tongued radio celebrity, Sheridan Whiteside, breaks his hip while on a lecture tour of America.
Forced to stay in the suburban home of the Stanley family for several weeks, Whiteside proceeds to terrorise the inhabitants and their neighbours. Intimacy with the ""great one"" is not quite the thrilling experience the family anticipated!
Kaufman and Hart's classic comedy
The Man Who Came to Dinner.
 offers a laugh a minute as so many rabbits are pulled from so many hats that theatregoers will applaud the wit, skill and panache of this talented duo.
John Mason Brown writing on Kaufman observed ""I'd rather see a play I can laugh at tonight than one which I might possibly read fifty years from now"".
The Man Who Came to Dinner
 satisfies on both counts; it is hilarious and apparently timeless.
How the Stanley's cope with Sheridan, his secretary, nurse, sycophantic friends and special Christmas broadcast will leave you laughing long after curtain call.
Cast: Vola Vandere, Barbara Thompson, Trent Kallu, Suellen Watts, Jonathon Rich, Shane Bates, Carmen Russo, Robin Castles, Phillipa Coleman, George Porthouse, Tony Girdler, Lucy Clifford, Paul Douglas, Peter Astrid, Serhat Caradee, Andrew Robjohns, Paul Treacy, Stuart Greenfield",https://www.genesiantheatre.com.au/s1997/4/images/poster.jpg,"['https://www.genesiantheatre.com.au/s1997/4/images/1.jpg', 'https://www.genesiantheatre.com.au/s1997/4/images/2.jpg']"
